date,text,link
2018-01-10 15:18,Drafter/Sketcher Wanted,https://newyork.craigslist.org/wch/egr/d/drafter-sketcher-wanted/6454949747.html
2018-01-10 14:25,Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6454870254.html
2018-01-10 13:21,Civil Engineer - Bridge Inspector,https://newyork.craigslist.org/mnh/egr/d/civil-engineer-bridge/6454771170.html
2018-01-10 12:47,DRAFTSPERSON / EXPEDITOR / FIELD WORK,https://newyork.craigslist.org/que/egr/d/draftsperson-expeditor-field/6454719415.html
2018-01-10 11:39,MECHANICAL ENGINEER - Luxury Design/Mfg Co:  Full Time Project Work,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-luxury/6454614550.html
2018-01-10 11:30,Seeking Full Time Structural Engineer,https://newyork.craigslist.org/brk/egr/d/seeking-full-time-structural/6454601265.html
2018-01-10 10:55,Construction Site Safety Monitor Wanted - Consultant / Part Time,https://newyork.craigslist.org/que/egr/d/construction-site-safety/6454549688.html
2018-01-10 10:48,Structural Engineering Firm Seeks Engineers,https://newyork.craigslist.org/mnh/egr/d/structural-engineering-firm/6454540589.html
2018-01-10 09:57,REVIT MODELER,https://newyork.craigslist.org/mnh/egr/d/revit-modeler/6454475219.html
2018-01-10 09:51,Jr. Plumbing and Fire Protection Engineers/REVIT,https://newyork.craigslist.org/mnh/egr/d/jr-plumbing-and-fire/6454467408.html
2018-01-10 06:49,graduate civil engineer w/ autocad experience,https://newyork.craigslist.org/que/egr/d/graduate-civil-engineer/6454341146.html
2018-01-09 20:52,Estimator Carpentry and Drywall,https://newyork.craigslist.org/mnh/egr/d/estimator-carpentry-and/6454095005.html
2018-01-09 16:10,Architect/Engineer/Construction Manager,https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6453782249.html
2018-01-09 13:12,Mechanical Engineering Internship,https://newyork.craigslist.org/brk/egr/d/mechanical-engineering/6453520778.html
2018-01-09 11:39,Project Architect Wanted!,https://newyork.craigslist.org/fct/egr/d/project-architect-wanted/6453376099.html
2018-01-09 11:37,Part time Drafts person,https://newyork.craigslist.org/brk/egr/d/part-time-drafts-person/6453373074.html
2018-01-09 11:06,Intermediate - Sr. Project Designer/Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-sr-project/6453328893.html
2018-01-09 10:42,Architectural Designer,https://newyork.craigslist.org/mnh/egr/d/architectural-designer/6453296484.html
2018-01-09 00:04,PROJECT ARCHITECT WANTED - PREMIER DESIGN/BUILD,https://newyork.craigslist.org/mnh/egr/d/project-architect-wanted/6452999443.html
2018-01-08 19:32,Jr - Intermediate FF&E / Interior Designer,https://newyork.craigslist.org/mnh/egr/d/jr-intermediate-ffe-interior/6452792827.html
2018-01-08 18:11,Structural Engineer,https://newyork.craigslist.org/brk/egr/d/structural-engineer/6452706293.html
2018-01-08 17:10,CONSTRUCTION SITE SUPERVISOR,https://newyork.craigslist.org/mnh/egr/d/construction-site-supervisor/6452631071.html
2018-01-08 15:12,Project Supervisor -- $40-50k,https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6452463277.html
2018-01-08 14:51,Engineering Administrator,https://newyork.craigslist.org/wch/egr/d/engineering-administrator/6452430795.html
2018-01-08 14:08,Junior Architectural Designer/CAD Drafter,https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6452362670.html
2018-01-08 13:36,Intern/Entry Level Drafting position,https://newyork.craigslist.org/que/egr/d/intern-entry-level-drafting/6452312642.html
2018-01-08 12:59,Junior Interior Designer,https://newyork.craigslist.org/mnh/egr/d/junior-interior-designer/6452253014.html
2018-01-08 12:31,RETAIL ARCHITECT - Sr PM & Intern Arch positions,https://newyork.craigslist.org/mnh/egr/d/retail-architect-sr-pm-intern/6452208045.html
2018-01-08 12:17,Project Architect / Coordinator,https://newyork.craigslist.org/mnh/egr/d/project-architect-coordinator/6452185148.html
2018-01-08 12:04,AutoCad Drafter / HVAC Shop Drawing Design,https://newyork.craigslist.org/brk/egr/d/autocad-drafter-hvac-shop/6452163088.html
2018-01-08 10:57,Top Expediting Firm- Immediate Hires- Asst. Project Mgr / Project Mgr,https://newyork.craigslist.org/mnh/egr/d/top-expediting-firm-immediate/6452060986.html
2018-01-08 10:12,ARCHITECTURAL DRAFTER,https://newyork.craigslist.org/mnh/egr/d/architectural-drafter/6452000446.html
2018-01-08 10:07,Estimator Wanted,https://newyork.craigslist.org/mnh/egr/d/estimator-wanted/6451994407.html
2018-01-08 10:05,Estimator Wanted,https://newyork.craigslist.org/mnh/egr/d/estimator-wanted/6451992652.html
2018-01-08 10:05,Interior Designer / Draftsman,https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6451992258.html
2018-01-08 10:02,DRAFTSMAN/JUNIOR ARCHITECT,https://newyork.craigslist.org/que/egr/d/draftsman-junior-architect/6451989218.html
2018-01-08 09:01,Landscape Architect/Landscape Designer,https://newyork.craigslist.org/wch/egr/d/landscape-architect-landscape/6451923400.html
2018-01-07 21:12,Immediate Position for Mid-Level Residential Architect,https://newyork.craigslist.org/mnh/egr/d/immediate-position-for-mid/6451631654.html
